layout_id,group_rank,score_group,capture_id,source_group,solver_version,solver_family,layout_variant,final_score,eval_score,geometry_score,split_stability_score,score_confidence,score_basis,top_reason,eval_autopos_rms_mm,eval_autopos_p95_mm,eval_static_p95_mm,eval_roto_abs_deltaR_p95_mm,eval_roto_turn_center_p95_mm,extra_split_align_rms_mm,xy_hull_coverage_ratio,nearest_neighbor_min_mm,z_span_mm,risk_flags,source_path
0752b3202614dca0,1,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,v2,default,10.367491,11.067,0.348,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=52.4mm; static_p95=89.1mm; roto_p95=39.8mm,52.3579327,87.2360619,89.0684618,39.8498037,25.9622242,,0.9741050152651706,1511.106404955032,1660.8950796778813,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json
a06d00f4a02fdc1a,2,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,default,11.309675,12.085,0.200,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=52.3mm; static_p95=89.4mm; roto_p95=39.9mm,52.2910968,87.9097566,89.4462916,39.9380231,25.950374,,0.9737885799721502,1511.6900764802215,1663.0224112736619,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json
48d29ef0f4d28d2d,3,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,v4-io,default,15.225103,14.710,22.606,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=48.2mm; static_p95=88.2mm; roto_p95=42.6mm,48.1687588,108.788461,88.198864,42.5838675,25.6142681,,0.9624835745403323,1497.6301651820372,1559.3255085600276,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
ebda6c001ec839b2,1,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v2,v2,default,5.214647,0.000,31.288,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=45.0mm,44.958563,73.6591073,,,,,0.9263669527441882,1530.4979280786526,1754.72246284563,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v2/layout.json
053c46629ed8c389,2,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,default,6.452858,1.618,30.628,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=45.2mm,45.2051144,75.1647879,,,,,0.9265370266175237,1535.280239206015,1750.6223321172074,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json
d0cb71e52800e4ca,3,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v4-io,v4-io,default,17.887138,17.642,19.111,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=45.4mm,45.3711828,101.178839,,,,,0.9399425381460809,1516.6184131767693,1666.1736914351773,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
d0329b8b5bd6d38d,1,Garage_Test/solver/outputs/v1_to_v4_io_field_check,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,default,8.436477,0.000,31.445,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm|risk_flag_count,autopos_rms=77.2mm; risk=unexpected_layer_order,77.239516,158.829072,,,,,0.9515957112763548,1523.6904005952063,2241.5554295604525,unexpected_layer_order,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json
b9edbb4d294b8a82,2,Garage_Test/solver/outputs/v1_to_v4_io_field_check,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v2,v2,default,9.470590,0.714,33.352,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm|risk_flag_count,autopos_rms=77.7mm; risk=unexpected_layer_order,77.7397338,158.981499,,,,,0.9505116240951661,1521.9380849520076,2226.993756335359,unexpected_layer_order,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v2/layout.json
d4b700dfdb554506,3,Garage_Test/solver/outputs/v1_to_v4_io_field_check,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v4-io,v4-io,default,50.138859,58.512,27.302,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm|risk_flag_count,autopos_rms=92.7mm; risk=unexpected_layer_order,92.6620031,266.251624,,,,,0.963061649282609,1492.307726619458,2377.326468075463,unexpected_layer_order,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
526c5cfba000a235,1,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,us_height,8.026736,0.000,48.160,,partial_evaluation,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=81.9mm,81.8995833,170.727684,,,,,0.9529316914890128,1545.3734325593375,2335.9164932341064,,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json
