pair,n_ab,n_ba,median_ab_mm,median_ba_mm,asymmetry_ab_minus_ba_mm,ci95_low_mm,ci95_high_mm,ci_excludes_zero
A-B,1000,1000,2898.0,2892.0,6.0,5.0,9.0,True
A-C,1000,1000,3713.0,3722.0,-9.0,-12.0,-6.0,True
A-D,1000,1000,2427.0,2431.0,-4.0,-5.0,-2.0,True
A-E,1000,1000,1546.0,1554.0,-8.0,-13.0,-4.5,True
A-F,1000,1000,3325.0,3319.0,6.0,3.0,8.5,True
A-G,1000,1000,4017.0,4023.5,-6.5,-10.0,-3.0,True
A-H,1000,1000,2679.0,2696.0,-17.0,-20.0,-14.0,True
B-C,1000,1000,2402.0,2411.0,-9.0,-12.0,-7.0,True
B-D,1000,1000,3666.5,3673.0,-6.5,-10.0,-4.0,True
B-E,1000,1000,3127.0,3143.0,-16.0,-18.0,-13.0,True
B-F,1000,1000,1621.0,1618.0,3.0,1.0,5.0,True
B-G,1000,1000,2743.0,2748.0,-5.0,-7.012499999999999,-3.0,True
B-H,1000,1000,3896.0,3905.0,-9.0,-12.0,-5.0,True
C-D,1000,1000,2892.0,2883.5,8.5,6.0,11.0,True
C-E,1000,1000,3893.0,3878.0,15.0,11.0,18.0,True
C-F,1000,1000,2681.0,2663.0,18.0,16.0,20.0,True
C-G,1000,1000,1621.5,1615.0,6.5,2.0,10.0,True
C-H,1000,1000,3342.0,3351.0,-9.0,-12.0,-7.0,True
D-E,1000,1000,2791.0,2794.0,-3.0,-6.5,1.0,False
D-F,1000,1000,3862.0,3840.0,22.0,20.0,25.0,True
D-G,1000,1000,3164.0,3157.0,7.0,5.0,9.5,True
D-H,1000,1000,1662.0,1657.0,5.0,2.0,8.5,True
E-F,1000,1000,2772.0,2752.0,20.0,17.0,22.0,True
E-G,1000,1000,3714.0,3709.0,5.0,3.0,7.5,True
E-H,1000,1000,2337.0,2330.0,7.0,5.0,10.0,True
F-G,1000,1000,2372.0,2376.0,-4.0,-5.5,-2.0,True
F-H,1000,1000,3654.0,3663.0,-9.0,-12.0,-6.0,True
G-H,1000,1000,2880.0,2880.0,0.0,-3.0,2.0,False
