version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,all8,A_tag_cloud_fit_WRONG_circular,24,150.1658398218221,328.9942581541081,190.91131353537526,52.03560244118758,134.99497359156496,,,,,-1.0000000000000004,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,191.99996595834006,1627.300933191002,392.0922669252189,2246.6364951600376,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,all8,C_anchor_locked_OFFICIAL,24,157.4023432947647,326.1496658334381,192.62143066526312,51.84490781924774,139.80614399695264,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,all8,A_tag_cloud_fit_WRONG_circular,24,78.01637722362315,225.6368087381109,131.64053598476758,46.87021733962543,58.0246666676004,,,,,-1.0,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,168.51553544955885,1566.2786535815044,371.29667281990925,2169.199756574256,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,all8,C_anchor_locked_OFFICIAL,24,81.13460329414808,248.02407163922965,135.69995289331186,44.2835768582678,73.97436796481418,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,all8,A_tag_cloud_fit_WRONG_circular,24,116.76711877528233,267.58968374915906,156.48740433937687,45.86552917592748,114.09665333851838,,,,,-1.0000000000000004,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,203.6216554722364,1579.3061186215323,407.25470735217846,2211.804496610161,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-full,all8,C_anchor_locked_OFFICIAL,24,120.60450688340441,293.7794627311125,160.68710414352879,48.82973465735593,113.66056336900589,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,all8,A_tag_cloud_fit_WRONG_circular,24,78.2951396296994,225.79337583876412,131.78191728226,47.05932873109644,58.47589084951301,,,,,-0.9999999999999997,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,168.75138532176032,1566.091660957301,371.67923537699437,2169.315633154047,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,all8,C_anchor_locked_OFFICIAL,24,81.82464638448316,248.46274006597122,135.91872083075168,44.61347280216383,74.56152306114018,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,all8,A_tag_cloud_fit_WRONG_circular,24,80.80489627178727,263.8685956800389,135.6235575582454,44.11277190645827,62.96552783902325,,,,,-0.9999999999999997,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,166.6342600439155,1571.3264934348417,365.21308020889643,2185.534053784431,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,all8,C_anchor_locked_OFFICIAL,24,73.96289045330005,282.1294949564182,139.5505960037113,42.29173475748749,65.31858600742339,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
