figure_path,figure_kind,phase,experiment_id,capture_id,tag,metric_context,baseline_id,comparison_id,notes
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R12__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R12,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R13__BS2DCE__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R13,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R13__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R13,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R14__BS2DCE__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R14,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R14__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R14,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R15__BS2DCE__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R15,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R15__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R15,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R16__BS2DCE__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R16,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R16__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R16,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R17__BS2DCE__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R17,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R17__BSDC91__xz.png,trajectory_xz_overlay,phase1,B0_A0_U4_P0_T1,R17,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R01__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R01,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R01__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R01,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R02__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R02,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R02__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R02,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R03__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R03,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R03__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R03,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R04__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R04,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R04__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R04,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R05__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R05,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R05__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R05,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R06__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R06,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R06__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R06,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R07__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R07,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R07__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R07,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R08__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R08,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R08__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R08,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R09__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R09,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R09__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R09,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R10__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R10,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R10__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R10,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R11__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R11,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R11__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R11,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R12__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R12,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R12__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R12,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R13__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R13,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R13__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R13,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R14__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R14,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R14__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R14,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R15__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R15,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R15__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R15,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R16__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R16,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R16__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R16,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R17__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R17,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R17__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L0_I0_T11,R17,BSDC91,Opti/UWB/output top-view,B0,X_A0_L0_I0_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R01__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R01,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R01__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R01,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R02__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R02,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R02__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R02,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R03__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R03,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R03__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R03,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R04__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R04,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R04__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R04,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R05__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R05,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R05__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R05,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R06__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R06,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R06__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R06,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R07__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R07,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R07__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R07,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R08__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R08,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R08__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R08,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R09__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R09,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R09__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R09,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R10__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R10,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R10__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R10,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R11__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R11,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R11__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R11,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R12__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R12,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R12__BSDC91__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R12,BSDC91,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
runs/phase1_vertical_slice/20260604T161344Z/figs/full/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R13__BS2DCE__xz.png,trajectory_xz_overlay,phase1,X_A0_L2_I3_T11,R13,BS2DCE,Opti/UWB/output top-view,B0,X_A0_L2_I3_T11,full per-track PNG
