task,status,elapsed_s,mean_cpu_percent,max_cpu_percent,key_finding,notes
P1,ok,0.1440254230001301,30.2,30.2,V4 mean signed radial -7.8 mm; V5 -4.8 mm,
P2,ok,0.12130627099941194,30.6,30.6,"strongest |corr(e_i, predictor)| is layer_binary r=-0.46",
P3,ok,3.934067390000564,28.9,28.9,2 Pareto rows; best proxy median 61.3 mm,
P4,ok,0.20749618300033035,31.4,31.4,"D_tag residual slope -19.14 mm/order, R2=0.14",
P5,ok,0.26962393899975723,24.2,24.2,quality score vs error Pearson r=-0.82; weighted D_tag 42.6 mm,
P6,ok,0.0017254829999728827,50.0,50.0,approx explained listed proxies 30.0 mm of 45.5 mm,
P7,ok,0.3498961750001399,38.5,38.5,largest mean contribution: anchor D 37.8 mm,
P8,ok,0.6353044670004238,26.4,26.4,generated 5 upgraded figures,
P9,ok,0.00031139899965637596,0.0,0.0,drafted LaTeX intro/method,
P10,ok,0.014213095999366487,38.9,38.9,wrote key numbers card,
