node,config,records,slots_total,valid,invalid,accepted,rejected,accounting_closed,insertion_errors,residual_rms_mm,residual_p95_abs_mm,nis_median,nis_p95,range_state_changed
BSF3C79,uniform_gate_off,15000,120000,119974,26,119974,0,1,0,55.9861984341,87.4270719192,0.428260594992,6.65704945537,1
BSF3C79,uniform_gate_on,15000,120000,119974,26,116975,2999,1,0,75.8612665104,84.8455226664,0.419816059499,6.26263640741,1
BSF3C79,per_link_gate_off,15000,120000,119974,26,119974,0,1,0,53.6328253375,85.1434022544,0.479563131443,5.69852074209,1
BSF3C79,per_link_gate_on,15000,120000,119974,26,116643,3331,1,0,76.5722605761,85.8909023663,0.478503095303,5.72071246216,1
BSFC2CC,uniform_gate_off,15002,120016,120004,12,120004,0,1,0,97.3798031929,199.567151531,0.594611915179,30.5508760228,1
BSFC2CC,uniform_gate_on,15002,120016,120004,12,62661,57343,1,0,462.54900438,931.972410247,5.40561522386,212.882182599,1
BSFC2CC,per_link_gate_off,15002,120016,120004,12,120004,0,1,0,96.2172840277,194.506102092,0.700501899397,33.8484883656,1
BSFC2CC,per_link_gate_on,15002,120016,120004,12,61356,58648,1,0,465.362369176,933.970528713,6.99995873496,229.421577394,1
BSF44AD,uniform_gate_off,15000,120000,119992,8,119992,0,1,0,48.9784332174,93.9825112657,0.535028816126,8.04199579825,1
BSF44AD,uniform_gate_on,15000,120000,119992,8,116164,3828,1,0,52.3618863711,92.2719709324,0.524507074007,7.7381874533,1
BSF44AD,per_link_gate_off,15000,120000,119992,8,119992,0,1,0,48.9667157692,93.9056681157,0.53334564063,5.43891487713,1
BSF44AD,per_link_gate_on,15000,120000,119992,8,117675,2317,1,0,52.2396893428,92.1202577402,0.522251459037,5.21945199699,1
BSF6C53,uniform_gate_off,15000,120000,119990,10,119990,0,1,0,117.519571742,292.010735487,0.55814747803,53.7685853898,1
BSF6C53,uniform_gate_on,15000,120000,119990,10,105371,14619,1,0,126.000101477,385.246598651,0.484373321754,92.3506524861,1
BSF6C53,per_link_gate_off,15000,120000,119990,10,119990,0,1,0,118.916100691,299.662337596,0.37532901707,3.97036629618,1
BSF6C53,per_link_gate_on,15000,120000,119990,10,119572,418,1,0,119.172799719,300.047401691,0.375731548273,3.92329589668,1
BSF8BC4,uniform_gate_off,14999,119992,119988,4,119988,0,1,0,47.3543479933,97.5962170254,0.554099155644,10.4579543231,1
BSF8BC4,uniform_gate_on,14999,119992,119988,4,113238,6750,1,0,57.3626000879,104.60124688,0.553355718775,11.9630032436,1
BSF8BC4,per_link_gate_off,14999,119992,119988,4,119988,0,1,0,47.4427584371,97.7268423109,0.448099158592,3.97299639035,1
BSF8BC4,per_link_gate_on,14999,119992,119988,4,119336,652,1,0,50.5108229566,98.1458850705,0.448905384815,4.01017590936,1
BSF1120,uniform_gate_off,14999,119992,119950,42,119950,0,1,0,64.7304937894,121.150636274,0.592263358356,10.3883619084,1
BSF1120,uniform_gate_on,14999,119992,119950,42,109793,10157,1,0,101.873554375,234.766097215,0.628407514414,36.9237329494,1
BSF1120,per_link_gate_off,14999,119992,119950,42,119950,0,1,0,63.9576758645,119.304796543,0.555119343134,10.8621720614,1
BSF1120,per_link_gate_on,14999,119992,119950,42,109561,10389,1,0,100.328119978,228.153179677,0.582548535101,44.5421420537,1
BSF31CC,uniform_gate_off,14999,119992,119989,3,119989,0,1,0,64.3627155766,108.192472956,0.750896128712,10.6577079887,1
BSF31CC,uniform_gate_on,14999,119992,119989,3,113433,6556,1,0,71.962917996,113.778148108,0.752692351268,11.7210748593,1
BSF31CC,per_link_gate_off,14999,119992,119989,3,119989,0,1,0,63.4369641954,106.883899803,0.584630583354,8.49902100523,1
BSF31CC,per_link_gate_on,14999,119992,119989,3,113197,6792,1,0,73.8814947281,124.491370825,0.596906719861,14.8754257618,1
BSFAA61,uniform_gate_off,15000,120000,119974,26,119974,0,1,0,112.936868249,259.885222006,0.854934795062,64.3398671206,1
BSFAA61,uniform_gate_on,15000,120000,119974,26,103212,16762,1,0,143.8742909,424.295289431,0.828585082682,163.698300708,1
BSFAA61,per_link_gate_off,15000,120000,119974,26,119974,0,1,0,112.761534036,258.378526235,0.769789236701,103.583628846,1
BSFAA61,per_link_gate_on,15000,120000,119974,26,103701,16273,1,0,143.626715706,423.929021393,0.76398635919,298.831437081,1
BSFB165,uniform_gate_off,15000,120000,119990,10,119990,0,1,0,72.3302085395,95.4077584929,0.579594384227,9.52276059102,1
BSFB165,uniform_gate_on,15000,120000,119990,10,115700,4290,1,0,90.2455897833,85.7239262706,0.558409140989,7.67076653072,1
BSFB165,per_link_gate_off,15000,120000,119990,10,119990,0,1,0,71.7851686394,94.5319416904,0.551075942856,8.32767467579,1
BSFB165,per_link_gate_on,15000,120000,119990,10,115997,3993,1,0,90.4749941163,85.6748689329,0.535273963348,6.61763984362,1
BSFEC35,uniform_gate_off,15000,120000,119993,7,119993,0,1,0,46.3708026259,84.0155175232,0.528770850018,7.75158865627,1
BSFEC35,uniform_gate_on,15000,120000,119993,7,115540,4453,1,0,54.4616552943,85.9413650531,0.525961617545,8.08929200827,1
BSFEC35,per_link_gate_off,15000,120000,119993,7,119993,0,1,0,47.2331196744,85.8711739634,0.482877826653,4.60494304697,1
BSFEC35,per_link_gate_on,15000,120000,119993,7,118202,1791,1,0,51.9013761306,84.0773173725,0.477148971035,4.55220803515,1
