a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,5919,100,5919,1,0
A,C,A,9989,100,9989,1,0
A,D,A,9027,100,9027,1,0
A,E,A,1345,100,1345,1,0
A,F,A,6285,100,6285,1,0
A,G,A,10508,100,10508,1,0
A,H,A,9155,100,9155,1,0
A,B,B,5929,100,5929,1,0
B,C,B,4498,100,4498,1,0
B,D,B,5410,100,5410,1,0
B,E,B,6035,100,6035,1,0
B,F,B,1469,100,1469,1,0
B,G,B,5250,100,5250,1,0
B,H,B,5837,100,5837,1,0
A,C,C,10003,100,10003,1,0
B,C,C,4506,100,4506,1,0
C,D,C,8082,100,8082,1,0
C,E,C,9935,100,9935,1,0
C,F,C,4536,100,4536,1,0
C,G,C,1614,100,1614,1,0
C,H,C,8570,100,8570,1,0
A,D,D,9012,100,9012,1,0
B,D,D,5432,100,5432,1,0
C,D,D,8089,100,8089,1,0
D,E,D,9124,100,9124,1,0
D,F,D,5750,100,5750,1,0
D,G,D,8749,100,8749,1,0
D,H,D,1434,100,1434,1,0
A,E,E,1375,100,1375,1,0
B,E,E,5988,100,5988,1,0
C,E,E,9927,100,9927,1,0
D,E,E,9265,100,9265,1,0
E,F,E,5998,100,5998,1,0
E,G,E,10276,100,10276,1,0
E,H,E,9151,100,9151,1,0
A,F,F,6224,100,6224,1,0
B,F,F,1480,100,1480,1,0
C,F,F,4501,100,4501,1,0
D,F,F,5797,100,5797,1,0
E,F,F,6006,100,6006,1,0
F,G,F,4813,100,4813,1,0
F,H,F,5862,100,5862,1,0
A,G,G,10489,100,10489,1,0
B,G,G,5228,100,5228,1,0
C,G,G,1643,100,1643,1,0
D,G,G,8748,100,8748,1,0
E,G,G,10268,100,10268,1,0
F,G,G,4790,100,4790,1,0
G,H,G,8975,100,8975,1,0
A,H,H,9188,100,9188,1,0
B,H,H,5837,100,5837,1,0
C,H,H,8534,100,8534,1,0
D,H,H,1349,100,1349,1,0
E,H,H,9143,100,9143,1,0
F,H,H,5900,100,5900,1,0
G,H,H,8955,100,8955,1,0
A,B,A,5956,100,5956,1,0
A,C,A,9992,100,9992,1,0
A,D,A,9031,100,9031,1,0
A,E,A,1348,100,1348,1,0
A,F,A,6220,100,6220,1,0
A,G,A,10461,100,10461,1,0
A,H,A,9229,100,9229,1,0
A,B,B,5908,100,5908,1,0
B,C,B,4487,100,4487,1,0
B,D,B,5428,100,5428,1,0
B,E,B,6012,100,6012,1,0
B,F,B,1502,100,1502,1,0
B,G,B,5247,100,5247,1,0
B,H,B,5861,100,5861,1,0
A,C,C,9987,100,9987,1,0
B,C,C,4510,100,4510,1,0
C,D,C,8060,100,8060,1,0
C,E,C,9928,100,9928,1,0
C,F,C,4523,100,4523,1,0
C,G,C,1627,100,1627,1,0
C,H,C,8518,100,8518,1,0
A,D,D,8997,100,8997,1,0
B,D,D,5429,100,5429,1,0
C,D,D,8072,100,8072,1,0
D,E,D,9223,100,9223,1,0
D,F,D,5768,100,5768,1,0
D,G,D,8704,100,8704,1,0
D,H,D,1367,100,1367,1,0
A,E,E,1315,100,1315,1,0
B,E,E,5959,100,5959,1,0
C,E,E,9899,100,9899,1,0
D,E,E,9130,100,9130,1,0
E,F,E,5956,100,5956,1,0
E,G,E,10288,100,10288,1,0
E,H,E,9169,100,9169,1,0
A,F,F,6238,100,6238,1,0
B,F,F,1490,100,1490,1,0
C,F,F,4548,100,4548,1,0
D,F,F,5763,100,5763,1,0
E,F,F,5991,100,5991,1,0
F,G,F,4796,100,4796,1,0
F,H,F,5894,100,5894,1,0
A,G,G,10507,100,10507,1,0
B,G,G,5207,100,5207,1,0
C,G,G,1636,100,1636,1,0
D,G,G,8780,100,8780,1,0
E,G,G,10295,100,10295,1,0
F,G,G,4748,100,4748,1,0
G,H,G,8951,100,8951,1,0
A,H,H,9194,100,9194,1,0
B,H,H,5844,100,5844,1,0
C,H,H,8502,100,8502,1,0
D,H,H,1403,100,1403,1,0
E,H,H,9106,100,9106,1,0
F,H,H,5880,100,5880,1,0
G,H,H,8947,100,8947,1,0
A,B,A,5910,100,5910,1,0
A,C,A,9953,100,9953,1,0
A,D,A,9029,100,9029,1,0
A,E,A,1311,100,1311,1,0
A,F,A,6250,100,6250,1,0
A,G,A,10473,100,10473,1,0
A,H,A,9196,100,9196,1,0
A,B,B,5964,100,5964,1,0
B,C,B,4450,100,4450,1,0
B,D,B,5404,100,5404,1,0
B,E,B,6016,100,6016,1,0
B,F,B,1504,100,1504,1,0
B,G,B,5217,100,5217,1,0
B,H,B,5889,100,5889,1,0
A,C,C,9932,100,9932,1,0
B,C,C,4518,100,4518,1,0
C,D,C,8074,100,8074,1,0
C,E,C,9932,100,9932,1,0
C,F,C,4526,100,4526,1,0
C,G,C,1621,100,1621,1,0
C,H,C,8511,100,8511,1,0
A,D,D,9010,100,9010,1,0
B,D,D,5418,100,5418,1,0
C,D,D,8081,100,8081,1,0
D,E,D,9171,100,9171,1,0
D,F,D,5759,100,5759,1,0
D,G,D,8717,100,8717,1,0
D,H,D,1473,100,1473,1,0
A,E,E,1303,100,1303,1,0
B,E,E,5985,100,5985,1,0
C,E,E,9962,100,9962,1,0
D,E,E,9171,100,9171,1,0
E,F,E,5972,100,5972,1,0
E,G,E,10309,100,10309,1,0
E,H,E,9158,100,9158,1,0
A,F,F,6279,100,6279,1,0
B,F,F,1502,100,1502,1,0
C,F,F,4530,100,4530,1,0
D,F,F,5778,100,5778,1,0
E,F,F,5977,100,5977,1,0
F,G,F,4769,100,4769,1,0
F,H,F,5857,100,5857,1,0
A,G,G,10515,100,10515,1,0
B,G,G,5260,100,5260,1,0
C,G,G,1611,100,1611,1,0
D,G,G,8745,100,8745,1,0
E,G,G,10223,100,10223,1,0
F,G,G,4825,100,4825,1,0
G,H,G,8937,100,8937,1,0
A,H,H,9156,100,9156,1,0
B,H,H,5808,100,5808,1,0
C,H,H,8558,100,8558,1,0
D,H,H,1443,100,1443,1,0
E,H,H,9124,100,9124,1,0
F,H,H,5850,100,5850,1,0
G,H,H,8977,100,8977,1,0
A,B,A,5942,100,5942,1,0
A,C,A,9930,100,9930,1,0
A,D,A,9037,100,9037,1,0
A,E,A,1340,100,1340,1,0
A,F,A,6240,100,6240,1,0
A,G,A,10562,100,10562,1,0
A,H,A,9231,100,9231,1,0
A,B,B,5929,100,5929,1,0
B,C,B,4482,100,4482,1,0
B,D,B,5431,100,5431,1,0
B,E,B,5972,100,5972,1,0
B,F,B,1469,100,1469,1,0
B,G,B,5226,100,5226,1,0
B,H,B,5855,100,5855,1,0
A,C,C,9986,100,9986,1,0
B,C,C,4498,100,4498,1,0
C,D,C,8096,100,8096,1,0
C,E,C,9910,100,9910,1,0
C,F,C,4518,100,4518,1,0
C,G,C,1620,100,1620,1,0
C,H,C,8514,100,8514,1,0
A,D,D,9006,100,9006,1,0
B,D,D,5457,100,5457,1,0
C,D,D,8073,100,8073,1,0
D,E,D,9207,100,9207,1,0
D,F,D,5769,100,5769,1,0
D,G,D,8750,100,8750,1,0
D,H,D,1416,100,1416,1,0
A,E,E,1358,100,1358,1,0
B,E,E,6019,100,6019,1,0
C,E,E,9937,100,9937,1,0
D,E,E,9206,100,9206,1,0
E,F,E,6023,100,6023,1,0
E,G,E,10279,100,10279,1,0
