theme,metric_name,value,unit,source_directory,source_file,notes
ANCHOR CALIBRATION,v4-io_sim3_scale,0.9582672713308588,scale,FULL_V5_scale_to_vicon,tables/v5_vs_v4_scale_comparison.csv,
ANCHOR CALIBRATION,v4-io_rigid_anchor_rmse,105.41990950811795,mm,FULL_V5_scale_to_vicon,tables/v5_vs_v4_scale_comparison.csv,
ANCHOR CALIBRATION,v5-commonmode_sim3_scale,1.0097822800764376,scale,FULL_V5_scale_to_vicon,tables/v5_vs_v4_scale_comparison.csv,
ANCHOR CALIBRATION,v5-commonmode_rigid_anchor_rmse,62.99190234655519,mm,FULL_V5_scale_to_vicon,tables/v5_vs_v4_scale_comparison.csv,
ANCHOR CALIBRATION,V5_common_mode_c,111.98479117186592,mm,FULL_V5,tables/delay_comparison_v4_vs_v5.csv,
ANCHOR CALIBRATION,V5_e_i_full_spread,27.703674623990402,mm,FULL_V5,tables/delay_comparison_v4_vs_v5.csv,
ANCHOR CALIBRATION,V5_e_i_max_abs,15.352958619571629,mm,FULL_V5,tables/delay_comparison_v4_vs_v5.csv,
TAG DELAY,D_tag_LOO_p50_V5,49.621032516254864,mm,FULL_4way_comparison,tables/v5_loo_tag_delay_summary.csv,
STATIC ACCURACY,V4 production_median_3d,71.87489868113639,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,"p50, uniform"
STATIC ACCURACY,V4 production_rmse_3d,110.3731093480212,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
STATIC ACCURACY,V5 baseline_median_3d,67.80925857328509,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,"p50, uniform"
STATIC ACCURACY,V5 baseline_rmse_3d,86.39989161399005,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
STATIC ACCURACY,V5 improved_median_3d,56.01127291158505,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,"p30, inverse_rms"
STATIC ACCURACY,V5 improved_rmse_3d,79.48190537495643,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
STATIC ACCURACY,V4 improved_median_3d,54.918375844369336,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,"p30, inverse_rms"
STATIC ACCURACY,V4 improved_rmse_3d,79.58617506422262,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
STATIC ACCURACY,Vicon improved_median_3d,56.327823937608464,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,"p30, inverse_rms"
STATIC ACCURACY,Vicon improved_rmse_3d,81.78860924977711,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
