scope,node,field,categorical_value,lower_bound,upper_bound,units,prior_class,evidence_status,evidence_reference,notes
SHARED,ALL,shared_capture_wearing_evidence_basis,DESCRIBE,,,,,UNSET,,Use PHOTO_DERIVED or OPERATOR_RECOLLECTION; MEASURED_CAPTURE_DAY requires contemporary evidence
SHARED,ALL,body_facing_enclosure_face,SELECT,,,,,UNSET,,Name the physical enclosure face worn toward the body
SHARED,ALL,enclosure_long_axis_rule,SELECT,,,,,UNSET,,For example ALONG_SEGMENT or ACROSS_SEGMENT
SHARED,ALL,antenna_end_direction_rule,SELECT,,,,,UNSET,,For example DISTAL PROXIMAL LEFT RIGHT UP or DOWN
SHARED,ALL,attachment_surface,SELECT,,,,,UNSET,,ANTERIOR/LATERAL/POSTERIOR or a plain-language shared description
SHARED,ALL,attachment_convention,DESCRIBE,,,,,UNSET,,Describe the shared graphical-landmark placement once
SHARED,ALL,likely_slip,DESCRIBE,,,,,UNSET,,Describe likely strap slip or NONE_REMEMBERED
ENGINEERING_DEFAULT,ALL,enclosure_center_to_graphical_landmark_x,,-50,50,mm,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
ENGINEERING_DEFAULT,ALL,enclosure_center_to_graphical_landmark_y,,-50,50,mm,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
ENGINEERING_DEFAULT,ALL,enclosure_center_to_graphical_landmark_z,,-50,50,mm,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
ENGINEERING_DEFAULT,ALL,placement_rotation_about_x,,-30,30,deg,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
ENGINEERING_DEFAULT,ALL,placement_rotation_about_y,,-30,30,deg,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
ENGINEERING_DEFAULT,ALL,placement_rotation_about_z,,-30,30,deg,DEFAULT_ENGINEERING_PRIOR,ENGINEERING_DEFAULT,visualization_centerline_v1 fixed default,Operator must not tighten this bound
NODE_OVERRIDE,BSF31CC,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSFC2CC,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSFAA61,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSF1120,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSFB165,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSFEC35,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSF44AD,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSF3C79,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSF6C53,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
NODE_OVERRIDE,BSF8BC4,override_present,NO,,,,,UNSET,,Optional categorical/evidence override only
