method,tag_method,layout,keep_k,repeat,roto_tracks_ok,solved_total,turn_center_rms_3d_mm_median,turn_center_p95_3d_mm_median,circle_thickness_rms_mm_median,radius_mm_median,turn_count_median
T3_CUDA_REPLAY,T3,v3-lite,8,0,34,38457,14.428763448163863,24.614041196155107,80.06154959503584,545.5400204679988,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,0,34,40811,22.152289460628964,37.8154082417112,100.15505169066847,544.3157926991148,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,1,34,40811,23.808753166940612,41.243483345398964,98.65200143168512,546.3941102460656,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,2,34,40811,21.148282483888867,36.048316570267176,99.00025107973181,546.0467027949701,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,3,34,40811,20.899102984756595,35.78722083820992,96.95676577004865,546.7577902475791,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,4,34,40811,21.86145600866382,36.01921449957575,99.30297158404922,547.5773366240742,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,5,34,40811,21.97601180922653,37.42264935191008,99.51699381724649,546.4330706379985,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,6,34,40811,22.540353995207543,37.886813505684856,99.30455889204936,545.1218466640319,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,7,34,40811,20.98687200576918,34.79932280060339,97.9160985940637,548.3113164048275,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,8,34,40811,23.210595278951168,38.950837674093286,98.885457331241,545.8675994495115,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,9,34,40811,23.796155447300507,41.10100242866163,98.43979002852598,548.0391588482506,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,10,34,40811,21.89663451594528,36.38053451517604,98.52210778366579,545.7997647316043,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,11,34,40811,22.458781005178736,40.750036488673516,99.28248284096314,546.9721346852648,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,12,34,40811,22.531078872415904,37.16411385085016,99.53609690474786,545.4619152808932,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,13,34,40811,21.895648377590152,37.125640940125194,98.11046492569727,547.1161058942613,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,14,34,40811,21.361203915989158,36.31799655898558,99.8104263933613,547.8938973773081,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,15,34,40811,21.67527716869368,39.46282219005667,98.46400291006495,545.83419032491,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,16,34,40811,20.600165572531246,33.55109125817476,98.22680075559322,546.3687111884692,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,17,34,40811,22.97532830200643,39.50417626543569,99.67862025318036,545.9490922025325,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,18,34,40811,22.406432519106225,35.771418215488495,98.41127489443507,546.3797056369988,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,19,34,40811,22.576667845673825,37.361179693651636,97.60703478649874,546.6167372493305,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,20,34,40811,22.34694760610935,36.811123680219154,98.04995966365459,545.9468751878903,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,21,34,40811,21.95918389779615,34.994455092422385,100.28028423484982,547.1508766253162,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,22,34,40811,22.058363135849213,36.1407230250674,99.85741526942331,547.308242395982,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,23,34,40811,24.607169929471908,42.16707218530698,98.62467635233847,545.5794567712682,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,24,34,40811,21.90967169612244,37.364367496162565,99.74555150388804,543.9413941970345,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,25,34,40811,21.069369001677064,35.30705760551611,98.74350996030526,545.2989667064692,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,26,34,40811,20.867690293755064,33.95324446175029,100.00778134637811,547.8693385308015,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,27,34,40811,22.87064424290279,36.69895954225583,98.99058340463483,547.5195329553541,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,28,34,40811,22.291977135940066,36.92171489770766,98.89831954931714,546.406413173532,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,29,34,40811,22.313583830495098,36.95561948735075,99.0221642080233,545.9116791249605,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,30,34,40811,20.707925838114647,33.880564794913404,98.48065808899162,546.1990642782594,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,31,34,40811,22.409265870682063,35.73111572431365,99.35912396402765,543.6848589777687,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,32,34,40811,21.211203067204696,37.53541340193041,98.49795892281716,548.5710742318274,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,33,34,40811,22.696768645489016,36.58077902592349,98.71465251559488,546.7652362568738,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,34,34,40811,22.668520852021473,38.114669435384016,99.45858732328485,545.2104703580546,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,35,34,40811,22.289198173931368,35.46484321351771,98.31638751033668,548.3120424497863,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,36,34,40811,20.23823228416071,32.803557763716604,99.96000806250531,547.3300013985145,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,37,34,40811,20.539386193118368,35.828951964542384,98.16270319412592,549.4482206306388,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,38,34,40811,21.149578123896077,37.08891330635083,99.48043038656431,546.9359949633154,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,39,34,40811,21.497878095428437,36.65876332381079,99.26714587239667,546.5234021441315,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,40,34,40811,22.047184141703813,35.314491692104994,100.61516842773155,547.0858870746995,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,41,34,40811,21.456004049221164,35.08302733026688,100.85931179275528,544.8150381439455,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,42,34,40811,21.809264548226178,35.16146768964094,98.88952310073009,546.7450841423632,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,43,34,40811,21.796726831330616,35.897201574789506,100.47598131708601,546.979283067027,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,44,34,40811,22.104392967767836,35.54863957029261,98.2832412651912,548.7685316134102,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,45,34,40811,21.69756761305239,36.91254439931845,98.84276048635854,546.646607628632,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,46,34,40811,22.106177677435518,36.453837465597395,100.16931327511696,546.0818157136134,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,47,34,40811,21.969935565206505,39.39094792980502,99.39336471219255,545.7641366709497,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,48,34,40811,22.698141418174714,36.596194095903115,100.98594362189888,546.0904421672919,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,49,34,40811,20.77721871229516,34.73069730236655,98.26052436641481,545.637720433562,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,50,34,40811,22.101175686125696,36.23937909975659,97.82621774932869,544.9482151211923,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,51,34,40811,21.94687068371279,37.83040149201587,97.32080826891254,547.3476815127325,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,52,34,40811,21.434345213539576,35.05196992860866,99.88684064958684,546.1071896860982,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,53,34,40811,22.547655152936212,37.29888777091406,98.46550921795193,546.0775120893504,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,54,34,40811,20.865468628685164,35.14474693658285,98.70012979028996,545.4400143667062,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,55,34,40811,21.80277342583544,38.193609760297775,99.74833938163161,547.3240654575586,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,56,34,40811,21.224081165525128,36.06335441004354,100.19626444357695,546.7177300809199,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,57,34,40811,22.20591341418789,36.00571618034243,100.4079027133138,547.4422971900799,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,58,34,40811,21.661795898010205,36.26336258052889,98.90621947888368,546.0836623027086,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,59,34,40811,21.26459885364605,38.1203569746462,100.95983242754477,546.3689158962919,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,60,34,40811,20.65653946660371,36.07547879712524,99.72355683912625,544.6106236218111,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,61,34,40811,20.662241886833563,34.45171091512453,99.51991240695892,548.5226490623357,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,62,34,40811,21.232171804265136,35.793789490613435,98.32730957395853,545.8103822890957,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,63,34,40811,21.879466769812044,36.763933474960794,98.21258743022588,547.1299467550932,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,64,34,40811,22.585655176933265,33.972799240608566,97.99789226169636,547.9234670712335,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,65,34,40811,21.880385433894734,38.430035923471415,99.03724771122346,546.9533598417768,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,66,34,40811,21.598493477582487,36.7223506350109,98.46339227614166,544.8161625940479,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,67,34,40811,21.17626098930318,37.41716577647969,99.70252049665254,545.0909807140678,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,68,34,40811,21.50307760782246,35.27708365123356,97.1941396443969,547.0250161932004,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,69,34,40811,20.915351851518313,35.22273400385698,98.10836610698772,543.4627738132064,23.5
T3_CUDA_REPLAY,T3,v3-lite,7,70,34,40811,22.482621087230136,36.55774532038026,99.90138793811853,545.3829334856962,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,71,34,40811,22.494664905593638,37.73763386444398,98.44688779371518,545.3371947910439,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,72,34,40811,22.02839803272309,37.44252889396866,98.65789520930718,547.6624992056502,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,73,34,40811,22.769043603047994,35.582288648845044,98.51129274624576,545.8513859658104,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,74,34,40811,21.399233461122577,35.308914712539874,97.60387820744484,546.4127599755227,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,75,34,40811,22.587597982209903,35.84017923221812,100.37289002187104,546.2965272234394,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,76,34,40811,21.253371726194466,37.10551297775601,97.72539291203543,547.8776408461595,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,77,34,40811,21.870656106479196,36.72133553130499,99.11981520239343,544.5610146869021,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,78,34,40811,22.795838424096672,37.02909035631947,99.0086491959694,544.192901311586,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,79,34,40811,21.166420722492077,33.587321557595615,100.22185333928928,547.5464616010609,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,80,34,40811,19.68741568700954,33.5312582160121,99.53930909234631,547.5784630823835,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,81,34,40811,22.178051756017005,37.309128491929826,99.62817392354145,546.3259972966532,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,82,34,40811,21.6964427651246,36.16185141416844,99.07828113337577,546.4647725438085,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,83,34,40811,23.155347748469747,37.04516642789325,99.66172984208205,546.6512739872031,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,84,34,40811,20.822447896889713,35.77063997835192,100.84201050528031,547.0726332492961,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,85,34,40811,22.420968059437644,36.53440365886913,97.99975976210075,546.8889122061425,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,86,34,40811,21.712166704370006,37.09992656742429,99.2194737351525,546.0980809811047,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,87,34,40811,20.746753917983696,37.51506330319383,99.10337649760422,545.3112325804329,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,88,34,40811,22.364300536986526,36.3989798268114,99.87950076628722,545.2321360651463,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,89,34,40811,21.78546893500765,38.018183719721335,99.44644898831021,546.9233367912906,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,90,34,40811,22.16525877280118,35.56114881854253,99.00725421919778,544.2618657618561,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,91,34,40811,20.915737591849407,35.04880422415214,99.67945635268153,545.9123925599755,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,92,34,40811,20.9884213342933,35.74357335031122,97.68247792150572,546.6523900039692,23.0
T3_CUDA_REPLAY,T3,v3-lite,7,93,34,40811,22.13087283076537,37.695127479636994,97.70838618188097,547.2923478292071,23.0
