method,tag_method,layout,keep_k,repeat,roto_tracks_ok,solved_total,turn_center_rms_3d_mm_median,turn_center_p95_3d_mm_median,circle_thickness_rms_mm_median,radius_mm_median,turn_count_median
T2_CUDA_REPLAY,T2,v1-old,8,0,34,38457,14.552523304087838,25.293368378678988,90.27342609455832,602.3003683191189,23.0
T2_CUDA_REPLAY,T2,v1-old,7,0,34,40811,24.504673824037525,40.435305813288906,124.8133130267978,601.6658234861627,23.0
T2_CUDA_REPLAY,T2,v1-old,7,1,34,40811,25.460017641939814,46.58588973376541,123.09610275985928,603.6342035242019,23.0
T2_CUDA_REPLAY,T2,v1-old,7,2,34,40811,25.129659246424545,42.884035665269494,121.36658282900072,603.2488598527461,23.5
T2_CUDA_REPLAY,T2,v1-old,7,3,34,40811,24.97225809651225,39.641642404069046,122.26625444106021,603.690506185908,23.0
T2_CUDA_REPLAY,T2,v1-old,7,4,34,40811,24.506994442395694,39.4937802216912,123.80222920722007,605.0392397126586,23.0
T2_CUDA_REPLAY,T2,v1-old,7,5,34,40811,25.313935834070634,45.588992531968756,122.82730396092367,603.6098723655991,23.0
T2_CUDA_REPLAY,T2,v1-old,7,6,34,40811,23.48957154594634,38.9448713600263,122.19379541211019,602.9741483082919,23.0
T2_CUDA_REPLAY,T2,v1-old,7,7,34,40811,23.317050763360477,38.691114595941144,121.7507192759845,603.9076949462379,23.0
T2_CUDA_REPLAY,T2,v1-old,7,8,34,40811,26.251845480957535,43.98235358949522,121.29079274004621,602.6354398683715,23.0
T2_CUDA_REPLAY,T2,v1-old,7,9,34,40811,25.965045261735856,43.619665227522134,121.64528455248396,605.6002857540763,23.0
T2_CUDA_REPLAY,T2,v1-old,7,10,34,40811,23.61121086774054,41.36918463926279,119.9228972198998,601.6818428904153,23.0
T2_CUDA_REPLAY,T2,v1-old,7,11,34,40811,23.787281246230627,41.28147467580571,120.61910466784359,603.0233650898708,23.0
T2_CUDA_REPLAY,T2,v1-old,7,12,34,40811,25.918039018148967,42.01590124346822,123.06144542441832,602.3490423354481,23.0
T2_CUDA_REPLAY,T2,v1-old,7,13,34,40811,24.791861155148467,42.018916289450644,121.4620898811179,602.3836741457828,23.0
T2_CUDA_REPLAY,T2,v1-old,7,14,34,40811,25.843085280677535,40.35378067754246,123.53680712568539,605.1116865187225,23.0
T2_CUDA_REPLAY,T2,v1-old,7,15,34,40811,24.04228766780001,41.16038381925764,121.13890892520695,602.1828491778687,23.0
T2_CUDA_REPLAY,T2,v1-old,7,16,34,40811,23.655238137987286,39.227238393552526,122.50081579465058,603.288698450443,23.0
T2_CUDA_REPLAY,T2,v1-old,7,17,34,40811,24.589739254654944,41.82309554563259,124.11067043384446,602.4988437538855,23.0
T2_CUDA_REPLAY,T2,v1-old,7,18,34,40811,24.234430830904103,42.08756553363923,122.2234955576514,602.7385797637303,23.0
T2_CUDA_REPLAY,T2,v1-old,7,19,34,40811,26.941195890462147,43.41201050454012,122.2433935332996,602.6200342740699,23.0
T2_CUDA_REPLAY,T2,v1-old,7,20,34,40811,23.9838093165862,41.78387456146607,121.66830859293404,601.69606216641,23.0
T2_CUDA_REPLAY,T2,v1-old,7,21,34,40811,25.415653178116315,41.583010070691614,121.43888590264174,604.450762718783,23.0
T2_CUDA_REPLAY,T2,v1-old,7,22,34,40811,24.90440656287749,39.07262004628555,122.74882535158586,603.784663313962,23.0
T2_CUDA_REPLAY,T2,v1-old,7,23,34,40811,25.099531595506896,41.819111714823165,123.20490038025918,603.1302032732287,23.0
T2_CUDA_REPLAY,T2,v1-old,7,24,34,40811,24.386765492483846,40.064644117662866,124.6795723146115,600.9475492186906,23.0
T2_CUDA_REPLAY,T2,v1-old,7,25,34,40811,24.410975718291265,41.24311013118371,125.37636293238722,602.6159075945229,23.0
T2_CUDA_REPLAY,T2,v1-old,7,26,34,40811,24.82181290867489,43.09910620082969,121.32093473622729,604.9419443941645,23.0
T2_CUDA_REPLAY,T2,v1-old,7,27,34,40811,24.871034137778942,43.31538512510356,123.14012769306885,604.5896192368398,23.0
T2_CUDA_REPLAY,T2,v1-old,7,28,34,40811,23.995928299050455,38.496685953797076,120.4207949277928,602.9744381986825,23.0
T2_CUDA_REPLAY,T2,v1-old,7,29,34,40811,24.939492460683873,43.91609320552367,123.13021269217153,602.573117998071,23.0
T2_CUDA_REPLAY,T2,v1-old,7,30,34,40811,23.582637307355398,39.64243217856664,120.5993722878028,602.4282877756057,23.5
T2_CUDA_REPLAY,T2,v1-old,7,31,34,40811,24.2389399749173,41.88384526076648,120.04064333005527,602.042019527134,23.0
T2_CUDA_REPLAY,T2,v1-old,7,32,34,40811,24.736375613134893,41.81468218338273,120.60611833501493,606.3400857231394,23.0
T2_CUDA_REPLAY,T2,v1-old,7,33,34,40811,24.518197314322855,39.30484590698128,122.8352714147442,604.1372221401067,23.0
T2_CUDA_REPLAY,T2,v1-old,7,34,34,40811,24.86429642290254,41.97084648854321,122.32193473485832,603.7743888515788,23.0
T2_CUDA_REPLAY,T2,v1-old,7,35,34,40811,24.450944734724608,41.593651887922235,122.52972672629934,604.7634995295541,23.0
T2_CUDA_REPLAY,T2,v1-old,7,36,34,40811,23.579698061151888,39.47179810753006,124.38856737313719,604.9959786810616,23.0
T2_CUDA_REPLAY,T2,v1-old,7,37,34,40811,25.666188350388566,44.039235747035356,124.20301902456188,605.4077495503216,23.0
T2_CUDA_REPLAY,T2,v1-old,7,38,34,40811,25.8788895998203,42.213728114515966,123.6621048225071,603.5654853513565,23.0
T2_CUDA_REPLAY,T2,v1-old,7,39,34,40811,24.629348978254797,39.98643015353872,121.92731292604662,603.134309759482,23.0
T2_CUDA_REPLAY,T2,v1-old,7,40,34,40811,24.710428513312408,40.72062827614762,120.52348383591749,602.6134388460323,23.0
T2_CUDA_REPLAY,T2,v1-old,7,41,34,40811,25.237898686083646,41.40812717591752,122.19241004982386,602.7503987937888,23.0
