host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.157572,1777207422.630956,4032,,BSF66F,,4,ok,3156,3156,100,4,0
0.157572,1777207422.630956,4032,,BSF66F,,5,ok,2474,2474,100,4,0
0.157572,1777207422.630956,4032,,BSF66F,,6,ok,2496,2496,100,4,0
0.412141,1777207422.885525,4033,,BSF66F,,0,ok,3127,3127,100,4,0
0.412141,1777207422.885525,4033,,BSF66F,,1,ok,2600,2600,100,4,0
0.442858,1777207422.916242,28,,BSDC91,,0,ok,3293,3293,100,2,0
0.442858,1777207422.916242,28,,BSDC91,,1,ok,2640,2640,100,2,0
0.442858,1777207422.916242,28,,BSDC91,,2,ok,2677,2677,100,2,0
0.443003,1777207422.916387,28,,BSDC91,,3,ok,3287,3287,100,2,0
0.443003,1777207422.916387,28,,BSDC91,,4,ok,2992,2992,100,2,0
0.443003,1777207422.916387,28,,BSDC91,,5,ok,2344,2344,100,2,0
0.560998,1777207423.034382,4034,,BSF66F,,4,ok,3143,3143,100,5,0
0.564931,1777207423.038315,4034,,BSF66F,,5,ok,2482,2482,100,5,0
0.564931,1777207423.038315,4034,,BSF66F,,6,ok,2520,2520,100,5,0
0.564931,1777207423.038315,4034,,BSF66F,,7,ok,3187,3187,100,5,0
0.825043,1777207423.298427,4035,,BSF66F,,0,ok,3183,3183,100,5,0
0.825043,1777207423.298427,4035,,BSF66F,,1,ok,2613,2613,100,5,0
0.825043,1777207423.298427,4035,,BSF66F,,2,ok,2439,2439,100,5,0
0.832969,1777207423.306353,29,,BSDC91,,0,ok,3370,3370,100,3,0
0.83305,1777207423.306434,29,,BSDC91,,1,timeout,0,2640,66,2,1
0.83305,1777207423.306434,29,,BSDC91,,2,ok,2708,2708,100,3,0
0.83305,1777207423.306434,29,,BSDC91,,3,ok,3260,3260,100,3,0
0.835656,1777207423.30904,29,,BSDC91,,4,ok,2984,2984,100,3,0
0.835656,1777207423.30904,29,,BSDC91,,5,ok,2343,2343,100,3,0
0.835656,1777207423.30904,29,,BSDC91,,6,ok,2401,2401,100,3,0
0.863235,1777207423.336619,22,,BS2DCE,,0,ok,3157,3157,100,2,0
0.863235,1777207423.336619,22,,BS2DCE,,1,ok,2947,2947,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,2,ok,3092,3092,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,3,ok,2673,2673,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,4,ok,3074,3074,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,5,ok,2975,2975,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,6,ok,3184,3184,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,7,ok,2888,2888,100,2,0
0.966369,1777207423.439753,23,,BS2DCE,,1,ok,2919,2919,100,3,0
0.966369,1777207423.439753,23,,BS2DCE,,3,ok,2695,2695,100,3,0
0.966369,1777207423.439753,23,,BS2DCE,,4,ok,3057,3057,100,3,0
0.974867,1777207423.448251,4036,,BSF66F,,4,ok,3156,3156,100,6,0
0.974867,1777207423.448251,4036,,BSF66F,,5,ok,2507,2507,100,6,0
1.153878,1777207423.627262,4037,,BSF66F,,0,ok,3122,3122,100,6,0
1.157216,1777207423.6306,4037,,BSF66F,,1,timeout,0,2613,83,5,1
1.157216,1777207423.6306,4037,,BSF66F,,2,ok,2428,2428,100,6,0
1.157216,1777207423.6306,4037,,BSF66F,,3,ok,3136,3136,100,6,0
1.222141,1777207423.695525,24,,BS2DCE,,1,ok,2932,2932,100,4,0
1.222141,1777207423.695525,24,,BS2DCE,,3,ok,2675,2675,100,4,0
1.38754,1777207423.860924,4038,,BSF66F,,4,ok,3095,3095,100,7,0
1.38754,1777207423.860924,4038,,BSF66F,,5,ok,2475,2475,100,7,0
1.38754,1777207423.860924,4038,,BSF66F,,6,ok,2495,2495,100,7,0
1.401379,1777207423.874763,25,,BS2DCE,,3,ok,2644,2644,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,1,ok,2970,2970,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,4,ok,3006,3006,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,6,ok,3166,3166,100,5,0
1.566733,1777207424.040117,4039,,BSF66F,,0,ok,3117,3117,100,7,0
1.566733,1777207424.040117,4039,,BSF66F,,1,ok,2679,2679,85,6,1
1.62795,1777207424.101334,30,,BSDC91,,0,ok,3370,3370,100,4,0
1.62795,1777207424.101334,30,,BSDC91,,1,ok,2639,2639,75,3,1
1.628059,1777207424.101443,30,,BSDC91,,2,ok,2698,2698,100,4,0
1.628059,1777207424.101443,30,,BSDC91,,3,ok,3241,3241,100,4,0
1.628059,1777207424.101443,30,,BSDC91,,4,ok,2932,2932,100,4,0
1.631145,1777207424.104529,30,,BSDC91,,5,ok,2329,2329,100,4,0
1.631145,1777207424.104529,30,,BSDC91,,6,ok,2403,2403,100,4,0
1.631145,1777207424.104529,30,,BSDC91,,7,ok,3120,3120,100,4,0
1.635356,1777207424.10874,26,,BS2DCE,,1,ok,2953,2953,100,6,0
1.635356,1777207424.10874,26,,BS2DCE,,3,ok,2633,2633,100,6,0
1.635356,1777207424.10874,26,,BS2DCE,,4,ok,2986,2986,100,6,0
1.701704,1777207424.175088,31,,BSDC91,,0,ok,3318,3318,100,5,0
1.701704,1777207424.175088,31,,BSDC91,,2,ok,2710,2710,100,5,0
1.701704,1777207424.175088,31,,BSDC91,,5,ok,2311,2311,100,5,0
1.776377,1777207424.249761,4040,,BSF66F,,4,ok,3162,3162,100,8,0
1.779777,1777207424.253161,4040,,BSF66F,,5,ok,2510,2510,100,8,0
1.779777,1777207424.253161,4040,,BSF66F,,6,ok,2493,2493,100,8,0
1.779777,1777207424.253161,4040,,BSF66F,,7,ok,3183,3183,100,8,0
1.813944,1777207424.287328,27,,BS2DCE,,1,ok,2954,2954,100,7,0
1.813944,1777207424.287328,27,,BS2DCE,,3,ok,2666,2666,100,7,0
1.859701,1777207424.333085,32,,BSDC91,,0,ok,3281,3281,100,6,0
1.859701,1777207424.333085,32,,BSDC91,,2,ok,2663,2663,100,6,0
2.002457,1777207424.475841,4041,,BSF66F,,0,ok,3112,3112,100,8,0
2.002457,1777207424.475841,4041,,BSF66F,,1,ok,2619,2619,87,7,1
2.002457,1777207424.475841,4041,,BSF66F,,2,ok,2421,2421,100,8,0
2.023869,1777207424.497253,28,,BS2DCE,,1,ok,2955,2955,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,3,ok,2655,2655,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,4,ok,2980,2980,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,6,ok,3162,3162,100,8,0
2.061098,1777207424.534482,33,,BSDC91,,2,ok,2660,2660,100,7,0
2.064366,1777207424.53775,33,,BSDC91,,0,ok,3314,3314,100,7,0
2.064366,1777207424.53775,33,,BSDC91,,5,ok,2326,2326,100,7,0
2.064366,1777207424.53775,33,,BSDC91,,7,ok,3073,3073,100,7,0
2.159866,1777207424.63325,4042,,BSF66F,,4,ok,3113,3113,100,9,0
2.159866,1777207424.63325,4042,,BSF66F,,5,ok,2509,2509,100,9,0
2.2049,1777207424.678284,29,,BS2DCE,,1,ok,2953,2953,100,9,0
2.2049,1777207424.678284,29,,BS2DCE,,3,ok,2664,2664,100,9,0
2.2049,1777207424.678284,29,,BS2DCE,,6,ok,3171,3171,100,9,0
2.272042,1777207424.745426,34,,BSDC91,,0,ok,3343,3343,100,8,0
2.272042,1777207424.745426,34,,BSDC91,,2,ok,2667,2667,100,8,0
2.272042,1777207424.745426,34,,BSDC91,,5,ok,2377,2377,100,8,0
2.407067,1777207424.880451,30,,BS2DCE,,1,ok,2972,2972,100,10,0
2.407067,1777207424.880451,30,,BS2DCE,,3,ok,2673,2673,100,10,0
2.415489,1777207424.888873,4043,,BSF66F,,0,ok,3113,3113,100,9,0
2.415537,1777207424.888921,4043,,BSF66F,,1,ok,2640,2640,88,8,1
