eval_id,label,source_kind,version,tag_method,eval_set,metric,value_mm,unit,n_positions,best_case_flag,primary_headline_flag,repeatability_source,note
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,mean_3d_error_mm,112.90440631083852,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,rmse_3d_error_mm,139.55059600371152,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,p50_3d_error_mm,73.96289045329976,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,p90_3d_error_mm,184.90686563143746,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,p95_3d_error_mm,282.12949495641834,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,p99_3d_error_mm,345.630014120385,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,max_3d_error_mm,359.61906242977136,mm,24,False,True,,3D is primary; horizontal 2D is secondary only
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,repeatability_d3_std_p50_mm,58.603243414574436,mm,24,False,True,solver/outputs/v1_to_v4_io_field_check/tables/static_all_captures.csv,
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,repeatability_d3_std_p95_mm,88.19886400901106,mm,24,False,True,solver/outputs/v1_to_v4_io_field_check/tables/static_all_captures.csv,
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,mean_3d_error_mm,87.69092523945882,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,rmse_3d_error_mm,106.61316163322415,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,p50_3d_error_mm,69.1556210729911,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,p90_3d_error_mm,146.54311882176003,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,p95_3d_error_mm,172.98762439595595,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,p99_3d_error_mm,277.3226420832391,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,max_3d_error_mm,307.3753919676652,mm,24,True,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,repeatability_d3_std_p50_mm,58.73631247742905,mm,24,True,False,tables/tag_raw_replay_abs_errors_per_session.csv,
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,repeatability_d3_std_p95_mm,137.73950437068174,mm,24,True,False,tables/tag_raw_replay_abs_errors_per_session.csv,
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,mean_3d_error_mm,91.75238110568473,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,rmse_3d_error_mm,108.90907731948187,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,p50_3d_error_mm,69.69166345867296,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,p90_3d_error_mm,156.45902196364432,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,p95_3d_error_mm,173.9256534240159,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,p99_3d_error_mm,254.61513593481038,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,max_3d_error_mm,278.15743862405765,mm,24,False,False,,3D is primary; horizontal 2D is secondary only
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,repeatability_d3_std_p50_mm,67.43706618523899,mm,24,False,False,tables/tag_raw_replay_abs_errors_per_session.csv,
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,repeatability_d3_std_p95_mm,88.35498809929247,mm,24,False,False,tables/tag_raw_replay_abs_errors_per_session.csv,
