node,mode,position_step_p95_mm,status,self_consistency_only
BSF3C79,B0_UWB_TAG_T4,589.6559268922816,RUN,True
BSF3C79,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF3C79,AUX_CAUSAL_T4_CV_DIAGNOSTIC,70.89310047898,RUN_NOT_Q1_FUSION,True
BSF3C79,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF3C79,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF3C79,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSFC2CC,B0_UWB_TAG_T4,737.1902711120595,RUN,True
BSFC2CC,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSFC2CC,AUX_CAUSAL_T4_CV_DIAGNOSTIC,77.16314397520837,RUN_NOT_Q1_FUSION,True
BSFC2CC,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSFC2CC,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSFC2CC,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSF44AD,B0_UWB_TAG_T4,848.7546483213007,RUN,True
BSF44AD,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF44AD,AUX_CAUSAL_T4_CV_DIAGNOSTIC,79.60866688550603,RUN_NOT_Q1_FUSION,True
BSF44AD,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF44AD,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF44AD,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSF6C53,B0_UWB_TAG_T4,360.783843550643,RUN,True
BSF6C53,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF6C53,AUX_CAUSAL_T4_CV_DIAGNOSTIC,55.09191544633475,RUN_NOT_Q1_FUSION,True
BSF6C53,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF6C53,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF6C53,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSF8BC4,B0_UWB_TAG_T4,470.0204846324097,RUN,True
BSF8BC4,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF8BC4,AUX_CAUSAL_T4_CV_DIAGNOSTIC,58.7882830303078,RUN_NOT_Q1_FUSION,True
BSF8BC4,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF8BC4,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF8BC4,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSF1120,B0_UWB_TAG_T4,475.48108877433856,RUN,True
BSF1120,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF1120,AUX_CAUSAL_T4_CV_DIAGNOSTIC,58.94911893514838,RUN_NOT_Q1_FUSION,True
BSF1120,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF1120,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF1120,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSF31CC,B0_UWB_TAG_T4,756.8231374458188,RUN,True
BSF31CC,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSF31CC,AUX_CAUSAL_T4_CV_DIAGNOSTIC,73.1185945210219,RUN_NOT_Q1_FUSION,True
BSF31CC,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSF31CC,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSF31CC,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSFAA61,B0_UWB_TAG_T4,673.2349883570402,RUN,True
BSFAA61,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSFAA61,AUX_CAUSAL_T4_CV_DIAGNOSTIC,61.09600903695357,RUN_NOT_Q1_FUSION,True
BSFAA61,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSFAA61,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSFAA61,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSFB165,B0_UWB_TAG_T4,505.45969585727767,RUN,True
BSFB165,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSFB165,AUX_CAUSAL_T4_CV_DIAGNOSTIC,274.53316706281515,RUN_NOT_Q1_FUSION,True
BSFB165,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSFB165,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSFB165,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
BSFEC35,B0_UWB_TAG_T4,568.2722297851532,RUN,True
BSFEC35,Q0_REPAIRED_Q1_ATTITUDE,not_applicable,RUN_SEPARATELY,True
BSFEC35,AUX_CAUSAL_T4_CV_DIAGNOSTIC,61.60823234706277,RUN_NOT_Q1_FUSION,True
BSFEC35,F1_Q1_PLUS_T4,,BLOCKED_FRAME_BINDING_V4_NOT_SURVEYED_NAVIGATION_FRAME,True
BSFEC35,F2_EXTRINSICS,,BLOCKED_ASSIGNMENT_AND_YAW_AMBIGUOUS,True
BSFEC35,F3_TOPOLOGY,,BLOCKED_ASSIGNMENT_AND_SEGMENT_LENGTHS_UNIDENTIFIED,True
