case_id,case_label,condition,frame_keep_fraction,anchor_keep,n_positions,frames_input_after_packet_drop_total,frames_solved_total,solve_fraction,position_err_3d_p50_mm,position_err_3d_p95_mm,position_err_3d_rmse_mm,sample_err_3d_p50_mm,sample_err_3d_p95_mm,sample_err_3d_rmse_mm,repeatability_d3_std_median_mm,stress_input_note
original_selfcal,FULL original self-cal v4-io/T4,baseline_all_frames_all8,1.0,8,24,2880,2880,1.0,76.29355764447048,180.92457609373704,107.7083785028982,88.62084723146188,260.73431026382315,127.38943776224922,63.086781332858024,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,frame_keep_75_all8,0.75,8,24,2163,2163,1.0,75.30507425569783,185.8726886314048,110.34205788105032,91.60406850779235,259.69340223372313,129.42755442573124,61.969921290094625,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,frame_keep_50_all8,0.5,8,24,1430,1430,1.0,75.84770544347155,182.3229275619712,110.27290257708485,88.82947270705361,262.391140420366,128.9225737336845,64.90023981485014,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,frame_keep_25_all8,0.25,8,24,749,749,1.0,66.36856091055904,176.81078895300655,110.32039382982167,90.01855870364014,255.66041662361533,129.83385493276677,64.24096906044963,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,anchor_keep_7,1.0,7,24,2880,2880,1.0,78.6520716914805,274.04138778512925,143.67184880442184,103.02283874511787,337.15237254616227,163.18987286539883,83.37750852611791,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,anchor_keep_6,1.0,6,24,2880,2880,1.0,78.55013206352915,264.31381266373324,136.6121013379628,112.0492600917695,358.54108905332737,183.231407390076,114.93700582439445,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,anchor_keep_5,1.0,5,24,2880,2880,1.0,61.56968308584302,269.35834479927814,128.31520681640507,131.72717460953726,412.7871780276623,205.11211174642938,152.90446688781668,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,anchor_keep_4,1.0,4,24,2880,2880,1.0,87.70008929528046,292.3937748009177,146.28530065465273,167.5503448908529,506.9094765369201,256.9093318962663,219.48682075453428,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,frame_keep_50_anchor_keep_6,0.5,6,24,1386,1386,1.0,78.74655381825477,226.69822060690194,132.30095398593772,114.3439329577966,341.4671973966239,176.95479685924366,116.32765710048317,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
original_selfcal,FULL original self-cal v4-io/T4,frame_keep_50_anchor_keep_4,0.5,4,24,1433,1433,1.0,86.44442793468757,217.67066890636173,122.84672483407576,169.1524514485847,502.8109426752344,268.8103536415704,219.355246945776,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,baseline_all_frames_all8,1.0,8,24,2880,2880,1.0,64.99019011011406,126.73187502170678,76.91837522900052,78.92501744886367,167.35741128939003,99.64219068918052,62.419833375114436,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
