a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,3010,100,3010,1,0
A,C,A,4052,100,4052,1,0
A,D,A,1902,100,1902,1,0
A,E,A,1335,100,1335,1,0
A,F,A,3359,100,3359,1,0
A,G,A,4214,100,4214,1,0
A,H,A,2135,100,2135,1,0
A,B,B,3026,100,3026,1,0
B,C,B,1817,100,1817,1,0
B,D,B,3152,100,3152,1,0
B,E,B,3294,100,3294,1,0
B,F,B,1353,100,1353,1,0
B,G,B,2385,100,2385,1,0
B,H,B,3401,100,3401,1,0
A,C,C,3990,100,3990,1,0
B,C,C,1794,100,1794,1,0
C,D,C,3159,100,3159,1,0
C,E,C,4171,100,4171,1,0
C,F,C,2332,100,2332,1,0
C,G,C,1360,100,1360,1,0
C,H,C,3541,100,3541,1,0
A,D,D,1865,100,1865,1,0
B,D,D,3130,100,3130,1,0
C,D,D,3145,100,3145,1,0
D,E,D,2294,100,2294,1,0
D,F,D,3512,100,3512,1,0
D,G,D,3412,100,3412,1,0
D,H,D,1389,100,1389,1,0
A,E,E,1340,100,1340,1,0
B,E,E,3281,100,3281,1,0
C,E,E,4186,100,4186,1,0
D,E,E,2324,100,2324,1,0
E,F,E,3009,100,3009,1,0
E,G,E,4050,100,4050,1,0
E,H,E,1614,100,1614,1,0
A,F,F,3319,100,3319,1,0
B,F,F,1357,100,1357,1,0
C,F,F,2337,100,2337,1,0
D,F,F,3493,100,3493,1,0
E,F,F,3002,100,3002,1,0
F,G,F,2075,100,2075,1,0
F,H,F,3181,100,3181,1,0
A,G,G,4275,100,4275,1,0
B,G,G,2367,100,2367,1,0
C,G,G,1341,100,1341,1,0
D,G,G,3455,100,3455,1,0
E,G,G,4035,100,4035,1,0
F,G,G,2096,100,2096,1,0
G,H,G,3229,100,3229,1,0
A,H,H,2111,100,2111,1,0
B,H,H,3402,100,3402,1,0
C,H,H,3529,100,3529,1,0
D,H,H,1355,100,1355,1,0
E,H,H,1693,100,1693,1,0
F,H,H,3193,100,3193,1,0
G,H,H,3280,100,3280,1,0
A,B,A,3037,100,3037,1,0
A,C,A,4022,100,4022,1,0
A,D,A,1888,100,1888,1,0
A,E,A,1398,100,1398,1,0
A,F,A,3307,100,3307,1,0
A,G,A,4318,100,4318,1,0
A,H,A,2124,100,2124,1,0
A,B,B,3030,100,3030,1,0
B,C,B,1812,100,1812,1,0
B,D,B,3139,100,3139,1,0
B,E,B,3277,100,3277,1,0
B,F,B,1406,100,1406,1,0
B,G,B,2381,100,2381,1,0
B,H,B,3401,100,3401,1,0
A,C,C,4015,100,4015,1,0
B,C,C,1785,100,1785,1,0
C,D,C,3161,100,3161,1,0
C,E,C,4258,100,4258,1,0
C,F,C,2323,100,2323,1,0
C,G,C,1366,100,1366,1,0
C,H,C,3555,100,3555,1,0
A,D,D,1912,100,1912,1,0
B,D,D,3144,100,3144,1,0
C,D,D,3190,100,3190,1,0
D,E,D,2286,100,2286,1,0
D,F,D,3500,100,3500,1,0
D,G,D,3397,100,3397,1,0
D,H,D,1391,100,1391,1,0
A,E,E,1382,100,1382,1,0
B,E,E,3270,100,3270,1,0
C,E,E,4183,100,4183,1,0
D,E,E,2372,100,2372,1,0
E,F,E,3028,100,3028,1,0
E,G,E,4045,100,4045,1,0
E,H,E,1683,100,1683,1,0
A,F,F,3356,100,3356,1,0
B,F,F,1352,100,1352,1,0
C,F,F,2345,100,2345,1,0
D,F,F,3521,100,3521,1,0
E,F,F,3039,100,3039,1,0
F,G,F,2074,100,2074,1,0
F,H,F,3158,100,3158,1,0
A,G,G,4290,100,4290,1,0
B,G,G,2417,100,2417,1,0
C,G,G,1325,100,1325,1,0
D,G,G,3409,100,3409,1,0
E,G,G,4067,100,4067,1,0
F,G,G,2077,100,2077,1,0
G,H,G,3215,100,3215,1,0
A,H,H,2148,100,2148,1,0
B,H,H,3409,100,3409,1,0
C,H,H,3536,100,3536,1,0
D,H,H,1379,100,1379,1,0
E,H,H,1671,100,1671,1,0
F,H,H,3166,100,3166,1,0
G,H,H,3229,100,3229,1,0
A,B,A,2981,100,2981,1,0
A,C,A,3959,100,3959,1,0
A,D,A,1915,100,1915,1,0
A,E,A,1352,100,1352,1,0
A,F,A,3395,100,3395,1,0
A,G,A,4298,100,4298,1,0
A,H,A,2122,100,2122,1,0
A,B,B,3046,100,3046,1,0
B,C,B,1813,100,1813,1,0
B,D,B,3131,100,3131,1,0
B,E,B,3291,100,3291,1,0
B,F,B,1383,100,1383,1,0
B,G,B,2405,100,2405,1,0
B,H,B,3406,100,3406,1,0
A,C,C,3970,100,3970,1,0
B,C,C,1802,100,1802,1,0
C,D,C,3152,100,3152,1,0
C,E,C,4185,100,4185,1,0
C,F,C,2326,100,2326,1,0
C,G,C,1311,100,1311,1,0
C,H,C,3513,100,3513,1,0
A,D,D,1911,100,1911,1,0
B,D,D,3180,100,3180,1,0
C,D,D,3183,100,3183,1,0
D,E,D,2321,100,2321,1,0
D,F,D,3505,100,3505,1,0
D,G,D,3392,100,3392,1,0
D,H,D,1440,100,1440,1,0
A,E,E,1385,100,1385,1,0
B,E,E,3278,100,3278,1,0
C,E,E,4237,100,4237,1,0
D,E,E,2301,100,2301,1,0
E,F,E,3039,100,3039,1,0
E,G,E,4037,100,4037,1,0
E,H,E,1731,100,1731,1,0
A,F,F,3361,100,3361,1,0
B,F,F,1408,100,1408,1,0
C,F,F,2330,100,2330,1,0
D,F,F,3513,100,3513,1,0
E,F,F,3026,100,3026,1,0
F,G,F,2052,100,2052,1,0
F,H,F,3160,100,3160,1,0
A,G,G,4292,100,4292,1,0
B,G,G,2426,100,2426,1,0
