host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,listener_t_ms,accepted_resps,resp_seq,anchor_id,src,dst,rx_ts_lo32,carrier_integrator,fp_index,fp1,fp2,fp3,cir_pwr,rxpacc,std_noise,frame_len
59.598868,1784055097.881184,1,255,255,25426585,191498,187,1,0xa101,0xb102,3731634829,-4692,47769,4518,7142,6307,1856,118,40,20
59.604033,1784055097.886350,1,255,255,25426590,191499,191,6,0xa106,0xb102,4059316104,3303,47980,7026,7200,5102,1814,117,48,20
59.631186,1784055097.913503,1,255,255,25426617,191500,188,1,0xa101,0xb103,1498476416,-4596,48012,3280,6816,6614,1848,121,44,20
59.636420,1784055097.918737,1,255,255,25426622,191501,192,6,0xa106,0xb103,1826157668,3333,47696,7299,7132,7106,1972,124,44,20
59.665003,1784055097.947320,1,255,255,25426651,191502,189,1,0xa101,0xb104,3660857191,-4624,47979,7134,7162,5091,1991,122,44,20
59.670164,1784055097.952480,1,255,255,25426656,191503,193,6,0xa106,0xb104,3988538040,3238,47772,7166,7378,6915,2011,121,44,20
60.001132,1784055098.283448,1,255,255,25426987,191504,200,3,0xa103,0xb102,3649200532,-984,47512,2055,2061,2051,2012,125,40,20
60.031381,1784055098.313698,1,255,255,25427017,191505,197,1,0xa101,0xb103,1294365325,-4589,47761,3515,6729,6331,1822,120,44,20
60.036454,1784055098.318771,1,255,255,25427022,191506,201,6,0xa106,0xb103,1622046480,3292,47860,7042,7313,4562,1867,119,36,20
60.099445,1784055098.381762,1,255,255,25427085,191507,198,1,0xa101,0xb102,1352321177,-4572,47773,5395,7263,6222,2077,122,40,20
60.104584,1784055098.386900,1,255,255,25427090,191508,202,6,0xa106,0xb102,1680002613,3328,47641,6689,7161,6904,1841,120,48,20
60.131835,1784055098.414152,1,255,255,25427118,191509,199,1,0xa101,0xb103,3423492557,-4493,48089,4357,6906,5858,1800,120,36,20
60.137041,1784055098.419358,1,255,255,25427123,191510,203,6,0xa106,0xb103,3751173521,3350,47997,7441,7509,4032,2002,122,48,20
60.165295,1784055098.447612,1,255,255,25427151,191511,200,1,0xa101,0xb104,1260374628,-4617,47720,6571,6964,5177,1972,119,44,20
60.170417,1784055098.452733,1,255,255,25427156,191512,204,6,0xa106,0xb104,1588056044,3394,48088,6868,7566,7340,1918,122,44,20
60.199528,1784055098.481845,1,255,255,25427185,191513,201,1,0xa101,0xb102,3455622234,-4503,47710,6066,6919,5989,2004,120,44,20
60.204739,1784055098.487056,1,255,255,25427191,191514,205,6,0xa106,0xb102,3783303493,3412,47913,6915,7004,5211,1648,117,44,20
60.231581,1784055098.513898,1,255,255,25427217,191515,202,1,0xa101,0xb103,1205690844,-4572,48096,6546,7219,6003,2144,124,40,20
60.236685,1784055098.519001,1,255,255,25427223,191516,206,6,0xa106,0xb103,1533372040,3351,47724,6887,6846,4876,1808,119,40,20
60.265938,1784055098.548255,1,255,255,25427252,191517,203,1,0xa101,0xb104,3403186127,-4530,48091,5776,7131,6297,2055,123,40,20
60.271064,1784055098.553380,1,255,255,25427257,191518,207,6,0xa106,0xb104,3730867206,3364,48106,6735,7125,5179,1845,120,40,20
60.299389,1784055098.581706,1,255,255,25427285,191519,204,1,0xa101,0xb102,1238568572,-4516,47752,2858,6889,6579,1860,119,48,20
60.304503,1784055098.586820,1,255,255,25427290,191520,208,6,0xa106,0xb102,1566250126,3335,47730,7137,7547,4835,1890,121,40,20
60.331621,1784055098.613938,1,255,255,25427317,191521,205,1,0xa101,0xb103,3298951119,-4567,48091,5147,7407,6419,1993,122,44,20
60.336714,1784055098.619030,1,255,255,25427323,191522,209,6,0xa106,0xb103,3626632069,3304,47977,7374,7647,5644,1907,120,44,20
60.667738,1784055098.950055,1,255,255,25427654,191523,217,4,0xa104,0xb104,3325132103,592,47931,4569,6925,4092,1785,118,52,20
60.698920,1784055098.981237,1,255,255,25427685,191524,216,1,0xa101,0xb102,1001027568,-4575,48124,7187,6911,3958,1960,123,48,20
60.703992,1784055098.986309,1,255,255,25427690,191525,220,6,0xa106,0xb102,1328708821,3349,47801,6870,6866,3945,1774,118,40,20
60.731540,1784055099.013857,1,255,255,25427717,191526,217,1,0xa101,0xb103,3085067082,-4495,47958,4058,7336,6569,1949,122,44,20
60.736735,1784055099.019051,1,255,255,25427723,191527,221,6,0xa106,0xb103,3412748008,3407,47828,7308,7828,7586,2081,124,48,20
60.765534,1784055099.047851,1,255,255,25427751,191528,218,1,0xa101,0xb104,971287475,-4478,48055,7173,7052,4304,1989,122,44,20
60.770711,1784055099.053027,1,255,255,25427757,191529,222,6,0xa106,0xb104,1298968677,3358,47697,6955,7449,7301,1874,121,44,20
60.831812,1784055099.114129,1,255,255,25427818,191530,219,1,0xa101,0xb103,907883432,-4480,48044,6950,7136,5030,1940,120,48,20
60.836967,1784055099.119283,1,255,255,25427823,191531,223,6,0xa106,0xb103,1235564576,3323,47628,7083,6849,6804,1787,121,48,20
60.899083,1784055099.181400,1,255,255,25427885,191532,220,1,0xa101,0xb102,909541624,-4496,47868,7093,6910,3871,1934,119,44,20
60.904282,1784055099.186598,1,255,255,25427890,191533,224,6,0xa106,0xb102,1237222758,3291,47954,7074,7675,7490,1927,122,48,20
60.931234,1784055099.213551,1,255,255,25427917,191534,221,1,0xa101,0xb103,2961871004,-4536,47776,5992,7229,5924,2031,123,44,20
60.936425,1784055099.218742,1,255,255,25427922,191535,225,6,0xa106,0xb103,3289552123,3374,47839,6623,6650,5831,1679,118,44,20
60.965023,1784055099.247339,1,255,255,25427951,191536,222,1,0xa101,0xb104,831981351,-4539,47915,6379,6720,4766,1869,120,40,20
60.970175,1784055099.252491,1,255,255,25427956,191537,226,6,0xa106,0xb104,1159662089,3306,47597,7452,7609,5295,1918,125,48,20
60.999381,1784055099.281698,1,255,255,25427985,191538,223,1,0xa101,0xb102,3024556893,-4481,47969,6431,6981,5681,1954,118,44,20
61.004625,1784055099.286941,1,255,255,25427990,191539,227,6,0xa106,0xb102,3352237944,3305,47964,7338,7625,6798,1861,123,48,20
61.065878,1784055099.348195,1,255,255,25428052,191540,224,1,0xa101,0xb104,2973337893,-4527,47913,6854,7122,5259,2050,120,44,20
61.071016,1784055099.353333,1,255,255,25428057,191541,228,6,0xa106,0xb104,3301019104,3387,48068,6489,7034,7192,1889,122,36,20
61.401613,1784055099.683929,1,255,255,25428388,191542,236,3,0xa103,0xb102,2949853493,-982,47921,1552,2412,1551,1926,119,48,20
61.431685,1784055099.714002,1,255,255,25428418,191543,233,1,0xa101,0xb103,578660589,-4437,47857,7273,7377,4848,2047,124,40,20
61.436824,1784055099.719140,1,255,255,25428423,191544,237,6,0xa106,0xb103,906341945,3294,47645,6619,7155,6441,1784,117,48,20
61.464843,1784055099.747159,1,255,255,25428451,191545,234,1,0xa101,0xb104,2699673623,-4432,47643,5037,7262,6375,2082,123,40,20
61.469990,1784055099.752307,1,255,255,25428456,191546,238,6,0xa106,0xb104,3027354370,3398,47838,6514,7066,6305,1806,118,44,20
61.499412,1784055099.781729,1,255,255,25428485,191547,235,1,0xa101,0xb102,612530789,-4481,47721,6217,6555,4770,1831,121,48,20
61.504488,1784055099.786804,1,255,255,25428490,191548,239,6,0xa106,0xb102,940211935,3363,47819,6963,7339,7122,1852,118,44,20
61.530967,1784055099.813284,1,255,255,25428517,191549,236,1,0xa101,0xb103,2622361765,-4463,47785,6705,6866,5021,1888,117,48,20
61.536069,1784055099.818386,1,255,255,25428522,191550,240,6,0xa106,0xb103,2950042661,3397,47633,6823,7170,7049,1771,120,48,20
61.565208,1784055099.847524,1,255,255,25428551,191551,237,1,0xa101,0xb104,522886437,-4413,47913,7040,7204,5311,2110,121,44,20
61.570378,1784055099.852695,1,255,255,25428556,191552,241,6,0xa106,0xb104,850567652,3480,48072,6227,7103,7273,1793,118,48,20
61.599634,1784055099.881950,1,255,255,25428586,191553,238,1,0xa101,0xb102,2720000927,-4343,48035,6586,6933,5524,1901,117,40,20
61.604817,1784055099.887133,1,255,255,25428591,191554,242,6,0xa106,0xb102,3047681956,3425,48016,6678,6855,6964,1779,117,48,20
61.631636,1784055099.913953,1,255,255,25428618,191555,239,1,0xa101,0xb103,469154209,-4384,48037,6233,6989,5413,1922,117,44,20
61.636704,1784055099.919021,1,255,255,25428623,191556,243,6,0xa106,0xb103,796835628,3332,47896,7305,7527,7004,1901,122,48,20
61.665468,1784055099.947785,1,255,255,25428651,191557,240,1,0xa101,0xb104,2636472927,-4389,47715,6669,7056,5675,2089,122,48,20
61.670581,1784055099.952898,1,255,255,25428657,191558,244,6,0xa106,0xb104,2964153972,3494,47712,6930,7374,6419,1889,117,48,20
61.731619,1784055100.013935,1,255,255,25428717,191559,241,1,0xa101,0xb103,2559031544,-4463,47876,3129,6957,6623,1915,123,44,20
