directory,exists,n_csv,n_reports_md,n_figures_png
FULL_V5,True,16,1,0
FULL_V5_scale_to_vicon,True,3,1,0
FULL_V5_align_to_Vicon,True,5,1,0
FULL_V5_one_baseline_scale_correction,True,4,1,0
FULL_transfer_matrix,True,8,1,0
FULL_V4_vs_V5_final,True,8,1,0
FULL_V5_mechanism_ablations,True,17,1,0
FULL_V5_extended_mechanism_ablations,True,36,1,3
FULL_V5_GPU_tier1,True,21,7,7
FULL_V5_GPU_discovery,True,49,19,15
FULL_V5_followup_validation,True,15,7,0
FULL_V5_overnight_batch2,True,21,11,10
FULL_V5_batch3_falsification,True,18,9,8
FULL_V5_roto_deepdive,True,18,7,7
FULL_V5_mechanistic_deepdive,True,27,11,6
FULL_V5_paper_strengthening,True,17,12,10
FULL_V5_grand_synthesis,True,7,9,0
FULL_V5_final_gate,True,17,6,5
FULL_V5_phase_center_sensitivity,True,15,7,8
